site_id,postcode,state,timezone_id
487359656,4132,QLD,Australia/Brisbane
493288080,4157,QLD,Australia/Brisbane
502373274,4870,QLD,Australia/Brisbane
505713029,4053,QLD,Australia/Brisbane
513054730,4570,QLD,Australia/Brisbane
514248804,4211,QLD,Australia/Brisbane
523047866,4184,QLD,Australia/Brisbane
543147061,4670,QLD,Australia/Brisbane
558829996,4563,QLD,Australia/Brisbane
569311199,4280,QLD,Australia/Brisbane
577341905,4165,QLD,Australia/Brisbane
586503715,4124,QLD,Australia/Brisbane
586527755,4113,QLD,Australia/Brisbane
593507228,4154,QLD,Australia/Brisbane
602393300,4074,QLD,Australia/Brisbane
603340708,4702,QLD,Australia/Brisbane
603579184,4069,QLD,Australia/Brisbane
609185751,4567,QLD,Australia/Brisbane
617523956,4173,QLD,Australia/Brisbane
646880841,4701,QLD,Australia/Brisbane
651423412,4036,QLD,Australia/Brisbane
657276703,4720,QLD,Australia/Brisbane
671090503,4520,QLD,Australia/Brisbane
671282194,4510,QLD,Australia/Brisbane
671621059,4717,QLD,Australia/Brisbane
677333055,4116,QLD,Australia/Brisbane
689045440,4055,QLD,Australia/Brisbane
717470730,4064,QLD,Australia/Brisbane
731073921,4034,QLD,Australia/Brisbane
731480064,4053,QLD,Australia/Brisbane
750212792,4504,QLD,Australia/Brisbane
758907147,4352,QLD,Australia/Brisbane
762981793,4311,QLD,Australia/Brisbane
768946863,4165,QLD,Australia/Brisbane
786801023,4051,QLD,Australia/Brisbane
797841169,4812,QLD,Australia/Brisbane
807568245,4300,QLD,Australia/Brisbane
809748671,4209,QLD,Australia/Brisbane
814119759,4115,QLD,Australia/Brisbane
814587644,4306,QLD,Australia/Brisbane
824423051,4352,QLD,Australia/Brisbane
830404513,4070,QLD,Australia/Brisbane
840266858,4209,QLD,Australia/Brisbane
842574544,4560,QLD,Australia/Brisbane
850117220,4124,QLD,Australia/Brisbane
850245427,4220,QLD,Australia/Brisbane
851083838,4280,QLD,Australia/Brisbane
859508346,4170,QLD,Australia/Brisbane
868679721,4179,QLD,Australia/Brisbane
870975794,4127,QLD,Australia/Brisbane
876186709,4720,QLD,Australia/Brisbane
879390244,4070,QLD,Australia/Brisbane
882407600,4209,QLD,Australia/Brisbane
890874663,4165,QLD,Australia/Brisbane
908522520,4506,QLD,Australia/Brisbane
910328017,4152,QLD,Australia/Brisbane
944901235,4073,QLD,Australia/Brisbane
955067773,4213,QLD,Australia/Brisbane
957928559,4019,QLD,Australia/Brisbane
960193414,4037,QLD,Australia/Brisbane
981959413,4022,QLD,Australia/Brisbane
1013727485,4650,QLD,Australia/Brisbane
1024839394,4502,QLD,Australia/Brisbane
1024993140,4556,QLD,Australia/Brisbane
1035697819,4560,QLD,Australia/Brisbane
1036468314,4285,QLD,Australia/Brisbane
1042949451,4124,QLD,Australia/Brisbane
1052397889,4170,QLD,Australia/Brisbane
1052901960,4165,QLD,Australia/Brisbane
1053641683,4563,QLD,Australia/Brisbane
1060227832,4223,QLD,Australia/Brisbane
1061716286,4802,QLD,Australia/Brisbane
1064203251,4228,QLD,Australia/Brisbane
1110577945,4208,QLD,Australia/Brisbane
1112438379,4055,QLD,Australia/Brisbane
1117389570,4127,QLD,Australia/Brisbane
1124398899,4211,QLD,Australia/Brisbane
1129116738,4127,QLD,Australia/Brisbane
1150449095,4012,QLD,Australia/Brisbane
1151858083,4869,QLD,Australia/Brisbane
1169002919,4510,QLD,Australia/Brisbane
1176290697,4300,QLD,Australia/Brisbane
1177124361,4074,QLD,Australia/Brisbane
1192160560,4069,QLD,Australia/Brisbane
1201849983,4060,QLD,Australia/Brisbane
1210720804,4164,QLD,Australia/Brisbane
1236989926,4350,QLD,Australia/Brisbane
1245117101,4208,QLD,Australia/Brisbane
1247815583,4164,QLD,Australia/Brisbane
1253875504,4300,QLD,Australia/Brisbane
1254500003,4560,QLD,Australia/Brisbane
1292510239,4211,QLD,Australia/Brisbane
1301406938,4738,QLD,Australia/Brisbane
1308414311,4756,QLD,Australia/Brisbane
1309556415,4207,QLD,Australia/Brisbane
1313466315,4078,QLD,Australia/Brisbane
1320350188,4306,QLD,Australia/Brisbane
1323929011,4352,QLD,Australia/Brisbane
1324021100,4178,QLD,Australia/Brisbane
1361794340,4879,QLD,Australia/Brisbane
1365832463,4753,QLD,Australia/Brisbane
1370597140,4212,QLD,Australia/Brisbane
1384052356,4575,QLD,Australia/Brisbane
1409618850,4370,QLD,Australia/Brisbane
1413259863,4556,QLD,Australia/Brisbane
1423845063,4171,QLD,Australia/Brisbane
1437471778,4800,QLD,Australia/Brisbane
1448322038,4551,QLD,Australia/Brisbane
1449942486,4068,QLD,Australia/Brisbane
1451036406,4207,QLD,Australia/Brisbane
1451449856,4798,QLD,Australia/Brisbane
1459674833,4227,QLD,Australia/Brisbane
1467077264,4504,QLD,Australia/Brisbane
1468564809,4350,QLD,Australia/Brisbane
1491221868,4511,QLD,Australia/Brisbane
1509843729,4358,QLD,Australia/Brisbane
1514221943,4341,QLD,Australia/Brisbane
1516886154,4216,QLD,Australia/Brisbane
1519472386,4012,QLD,Australia/Brisbane
1545540591,4125,QLD,Australia/Brisbane
1559939172,4214,QLD,Australia/Brisbane
1565220907,4506,QLD,Australia/Brisbane
1576347744,4078,QLD,Australia/Brisbane
1584676388,4564,QLD,Australia/Brisbane
1596484062,4510,QLD,Australia/Brisbane
1617901387,4105,QLD,Australia/Brisbane
